varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,774626.8525615911
c00100,1,1,-9e99,1,0,8258.789027182898
c00100,1,1,1,10000,0,38849.557874641185
c00100,1,1,10000,25000,0,61921.02366443875
c00100,1,1,25000,50000,0,86011.58327135554
c00100,1,1,50000,75000,0,52130.60463569164
c00100,1,1,75000,100000,0,31736.612729468256
c00100,1,1,100000,200000,0,49890.25594549141
c00100,1,1,200000,500000,0,20656.009915733783
c00100,1,1,500000,9e99,0,7161.302813912526
c00100,0,1,1,10000,0,200923091.97379544
c00100,0,1,10000,25000,0,1064211829.652496
c00100,0,1,25000,50000,0,3160020876.573086
c00100,0,1,50000,75000,0,3201296639.9553695
c00100,0,1,75000,100000,0,2749371468.869246
c00100,0,1,100000,200000,0,6833601635.262682
c00100,0,1,200000,500000,0,6089834324.34327
c00100,0,1,500000,9e99,0,12774882072.079464
c00100,1,1,-9e99,1,1,5162.091713982544
c00100,1,1,1,10000,1,30548.025062362045
c00100,1,1,10000,25000,1,40941.90604258618
c00100,1,1,25000,50000,1,49141.63065840807
c00100,1,1,50000,75000,1,24857.96615202155
c00100,1,1,75000,100000,1,9951.602107620609
c00100,1,1,100000,200000,1,9264.472495536576
c00100,1,1,200000,500000,1,2616.6281796381377
c00100,1,1,500000,9e99,1,790.1473809385269
c00100,1,1,-9e99,1,2,1786.7544944686908
c00100,1,1,1,10000,2,3444.4795563884672
c00100,1,1,10000,25000,2,8035.527949245997
c00100,1,1,25000,50000,2,17991.529664644513
c00100,1,1,50000,75000,2,19610.579337786217
c00100,1,1,75000,100000,2,19016.418929652616
c00100,1,1,100000,200000,2,38218.72981876772
c00100,1,1,200000,500000,2,17346.361716013587
c00100,1,1,500000,9e99,2,6140.213023383736
c00100,1,1,-9e99,1,4,1038.2766937803376
c00100,1,1,1,10000,4,4146.920761551517
c00100,1,1,10000,25000,4,11453.832773791675
c00100,1,1,25000,50000,4,15494.346026828103
c00100,1,1,50000,75000,4,5764.7242284136855
c00100,1,1,75000,100000,4,2053.39683044943
c00100,1,1,100000,200000,4,1667.2171309415417
c00100,1,1,200000,500000,4,495.912967027901
c00100,1,1,500000,9e99,4,144.76788835736463
e00200,0,1,-9e99,1,0,38663827.907880925
e00200,0,1,1,10000,0,149274932.9352773
e00200,0,1,10000,25000,0,765438360.1923945
e00200,0,1,25000,50000,0,2584212429.4778676
e00200,0,1,50000,75000,0,2530113237.033243
e00200,0,1,75000,100000,0,2073322319.0084355
e00200,0,1,100000,200000,0,4938683384.754896
e00200,0,1,200000,500000,0,3867295335.2172184
e00200,0,1,500000,9e99,0,4124159791.6095414
e26270,0,1,25000,50000,0,4761622.640805283
e26270,0,1,50000,75000,0,15459827.927542895
e26270,0,1,75000,100000,0,20104966.79453069
e26270,0,1,100000,200000,0,104773764.89483751
e26270,0,1,200000,500000,0,353315959.1293389
e26270,0,1,500000,9e99,0,1791334279.75361
e18400,0,1,10000,25000,0,521415.4724738764
e18400,0,1,25000,50000,0,1377765.7755811862
e18400,0,1,50000,75000,0,2303232.8732737335
e18400,0,1,75000,100000,0,3609483.7692452986
e18400,0,1,100000,200000,0,19012980.15703135
e18400,0,1,200000,500000,0,32170939.18536035
e18400,0,1,500000,9e99,0,124886938.76096566
e18500,0,1,10000,25000,0,3981359.301626879
e18500,0,1,25000,50000,0,11383021.76043283
e18500,0,1,50000,75000,0,15189424.916893164
e18500,0,1,75000,100000,0,16421451.221321378
e18500,0,1,100000,200000,0,67189074.3891354
e18500,0,1,200000,500000,0,84329779.49268875
e18500,0,1,500000,9e99,0,73173644.79284793
