varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,809111.8306046791
c00100,1,1,-9e99,1,0,7479.965913808678
c00100,1,1,1,10000,0,34771.648508714716
c00100,1,1,10000,25000,0,58941.38195491456
c00100,1,1,25000,50000,0,67002.9262204701
c00100,1,1,50000,75000,0,45162.95639156441
c00100,1,1,75000,100000,0,30029.732899330113
c00100,1,1,100000,200000,0,64415.640537909785
c00100,1,1,200000,500000,0,30995.250770558658
c00100,1,1,500000,9e99,0,6526.710405482606
c00100,0,1,1,10000,0,176483059.25180155
c00100,0,1,10000,25000,0,1007305660.442294
c00100,0,1,25000,50000,0,2442293470.6972055
c00100,0,1,50000,75000,0,2777890678.502434
c00100,0,1,75000,100000,0,2607596715.4605255
c00100,0,1,100000,200000,0,9047543328.73175
c00100,0,1,200000,500000,0,8931844313.39293
c00100,0,1,500000,9e99,0,9385224786.551949
c00100,1,1,-9e99,1,1,4643.397696384654
c00100,1,1,1,10000,1,28408.845713779923
c00100,1,1,10000,25000,1,38281.09404113933
c00100,1,1,25000,50000,1,35352.336922849594
c00100,1,1,50000,75000,1,20592.02835578835
c00100,1,1,75000,100000,1,9665.642887587725
c00100,1,1,100000,200000,1,10382.62059224652
c00100,1,1,200000,500000,1,2457.036040020621
c00100,1,1,500000,9e99,1,512.2946608860467
c00100,1,1,-9e99,1,2,1909.5623335319224
c00100,1,1,1,10000,2,3137.7964933674766
c00100,1,1,10000,25000,2,7814.231292037175
c00100,1,1,25000,50000,2,15301.47914476748
c00100,1,1,50000,75000,2,15458.33416953027
c00100,1,1,75000,100000,2,15919.991875805894
c00100,1,1,100000,200000,2,49021.27375327387
c00100,1,1,200000,500000,2,27485.227332245933
c00100,1,1,500000,9e99,2,5828.507485684681
c00100,1,1,-9e99,1,4,697.9788077221025
c00100,1,1,1,10000,4,2771.494433432638
c00100,1,1,10000,25000,4,11909.60097730038
c00100,1,1,25000,50000,4,14638.76528263334
c00100,1,1,50000,75000,4,7666.303580497598
c00100,1,1,75000,100000,4,3715.29398986717
c00100,1,1,100000,200000,4,4018.970421662088
c00100,1,1,200000,500000,4,831.3429708976809
c00100,1,1,500000,9e99,4,114.24049031829917
e00200,0,1,-9e99,1,0,74764331.53365387
e00200,0,1,1,10000,0,140541673.59842166
e00200,0,1,10000,25000,0,737983364.853001
e00200,0,1,25000,50000,0,1982874271.2130945
e00200,0,1,50000,75000,0,2256705402.709606
e00200,0,1,75000,100000,0,2044600283.0983255
e00200,0,1,100000,200000,0,7118299612.329722
e00200,0,1,200000,500000,0,6562728562.108652
e00200,0,1,500000,9e99,0,3316407785.2098346
e26270,0,1,25000,50000,0,2120234.359533146
e26270,0,1,50000,75000,0,10092736.739494313
e26270,0,1,75000,100000,0,16622314.35289211
e26270,0,1,100000,200000,0,129716119.68490016
e26270,0,1,200000,500000,0,401343456.29626113
e26270,0,1,500000,9e99,0,1895458682.1669843
e18400,0,1,10000,25000,0,402563.7547866856
e18400,0,1,25000,50000,0,1016482.0009744408
e18400,0,1,50000,75000,0,1561429.7313111243
e18400,0,1,75000,100000,0,2174352.6750056273
e18400,0,1,100000,200000,0,10848200.240955807
e18400,0,1,200000,500000,0,14659714.278131086
e18400,0,1,500000,9e99,0,32190947.510424905
e18500,0,1,10000,25000,0,12773040.11088431
e18500,0,1,25000,50000,0,34733666.3532007
e18500,0,1,50000,75000,0,54054746.44705958
e18500,0,1,75000,100000,0,60773887.59863537
e18500,0,1,100000,200000,0,234902251.45384064
e18500,0,1,200000,500000,0,205530286.54097825
e18500,0,1,500000,9e99,0,87719038.47560567
