varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,784332.8313509676
c00100,1,1,-9e99,1,0,7313.078141353144
c00100,1,1,1,10000,0,39924.81439615604
c00100,1,1,10000,25000,0,60349.3039818981
c00100,1,1,25000,50000,0,82326.89188152179
c00100,1,1,50000,75000,0,49736.30101154747
c00100,1,1,75000,100000,0,32738.70472908648
c00100,1,1,100000,200000,0,55001.76403436356
c00100,1,1,200000,500000,0,21604.944264432903
c00100,1,1,500000,9e99,0,4646.922832112126
c00100,0,1,1,10000,0,204545889.93854785
c00100,0,1,10000,25000,0,1041479113.7683665
c00100,0,1,25000,50000,0,3010711233.3221936
c00100,0,1,50000,75000,0,3057584565.9011807
c00100,0,1,75000,100000,0,2840193027.4021893
c00100,0,1,100000,200000,0,7552014485.510244
c00100,0,1,200000,500000,0,6239228879.080396
c00100,0,1,500000,9e99,0,6741890864.303682
c00100,1,1,-9e99,1,1,4576.283000805662
c00100,1,1,1,10000,1,32272.940445115302
c00100,1,1,10000,25000,1,41573.95002388864
c00100,1,1,25000,50000,1,48236.42038907686
c00100,1,1,50000,75000,1,22628.363758599477
c00100,1,1,75000,100000,1,9363.934496583835
c00100,1,1,100000,200000,1,8926.684104048385
c00100,1,1,200000,500000,1,2178.055215748306
c00100,1,1,500000,9e99,1,439.69980616887574
c00100,1,1,-9e99,1,2,1535.7859558863502
c00100,1,1,1,10000,2,3485.8204266417138
c00100,1,1,10000,25000,2,7828.227778876949
c00100,1,1,25000,50000,2,16979.509640625984
c00100,1,1,50000,75000,2,19977.287783468564
c00100,1,1,75000,100000,2,20610.527508190517
c00100,1,1,100000,200000,2,43310.4897914546
c00100,1,1,200000,500000,2,18833.335841239463
c00100,1,1,500000,9e99,2,4085.142436545728
c00100,1,1,-9e99,1,4,984.328850979148
c00100,1,1,1,10000,4,3530.8583029131587
c00100,1,1,10000,25000,4,9641.707991641402
c00100,1,1,25000,50000,4,14187.335919428722
c00100,1,1,50000,75000,4,5334.315640168258
c00100,1,1,75000,100000,4,2033.168908861957
c00100,1,1,100000,200000,4,1938.6143234633455
c00100,1,1,200000,500000,4,425.0719664265389
c00100,1,1,500000,9e99,4,80.99932432054776
e00200,0,1,-9e99,1,0,35015006.289227806
e00200,0,1,1,10000,0,155652241.68038186
e00200,0,1,10000,25000,0,749180242.2720594
e00200,0,1,25000,50000,0,2417843977.8359036
e00200,0,1,50000,75000,0,2298117409.376624
e00200,0,1,75000,100000,0,2053649070.177515
e00200,0,1,100000,200000,0,5292541551.609265
e00200,0,1,200000,500000,0,4032702868.908824
e00200,0,1,500000,9e99,0,2182828873.359883
e26270,0,1,25000,50000,0,6467322.833877354
e26270,0,1,50000,75000,0,17658857.841483157
e26270,0,1,75000,100000,0,25488409.095402163
e26270,0,1,100000,200000,0,140012818.10033625
e26270,0,1,200000,500000,0,361429197.5129476
e26270,0,1,500000,9e99,0,1545689470.29608
e18400,0,1,10000,25000,0,2847423.7225647
e18400,0,1,25000,50000,0,17000739.332994405
e18400,0,1,50000,75000,0,32832972.443637643
e18400,0,1,75000,100000,0,46303398.3263741
e18400,0,1,100000,200000,0,252025679.0677736
e18400,0,1,200000,500000,0,300072981.34413534
e18400,0,1,500000,9e99,0,291559972.58766764
e18500,0,1,10000,25000,0,5047277.401002403
e18500,0,1,25000,50000,0,14519199.343567347
e18500,0,1,50000,75000,0,24200544.568272933
e18500,0,1,75000,100000,0,28574380.865449015
e18500,0,1,100000,200000,0,131510647.14066356
e18500,0,1,200000,500000,0,131380355.05340724
e18500,0,1,500000,9e99,0,48404990.67027107
