varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,645570
c00100,1,1,-9e99,1,0,7500
c00100,1,1,1,10000,0,38870
c00100,1,1,10000,25000,0,50790
c00100,1,1,25000,50000,0,82520
c00100,1,1,50000,75000,0,51960
c00100,1,1,75000,100000,0,32580
c00100,1,1,100000,200000,0,52040
c00100,1,1,200000,500000,0,16230
c00100,1,1,500000,9e99,0,3790
c00100,0,1,1,10000,0,186320000
c00100,0,1,10000,25000,0,879415000
c00100,0,1,25000,50000,0,3060582000
c00100,0,1,50000,75000,0,3185894000
c00100,0,1,75000,100000,0,2825990000
c00100,0,1,100000,200000,0,7065984000
c00100,0,1,200000,500000,0,4674464000
c00100,0,1,500000,9e99,0,5122701000
c00100,1,1,-9e99,1,1,4780
c00100,1,1,1,10000,1,32440
c00100,1,1,10000,25000,1,37820
c00100,1,1,25000,50000,1,55820
c00100,1,1,50000,75000,1,28040
c00100,1,1,75000,100000,1,10260
c00100,1,1,100000,200000,1,8590
c00100,1,1,200000,500000,1,2340
c00100,1,1,500000,9e99,1,540
c00100,1,1,-9e99,1,2,1630
c00100,1,1,1,10000,2,4030
c00100,1,1,10000,25000,2,6590
c00100,1,1,25000,50000,2,13320
c00100,1,1,50000,75000,2,16960
c00100,1,1,75000,100000,2,19670
c00100,1,1,100000,200000,2,41340
c00100,1,1,200000,500000,2,13400
c00100,1,1,500000,9e99,2,3140
c00100,1,1,-9e99,1,4,920
c00100,1,1,1,10000,4,1930
c00100,1,1,10000,25000,4,5440
c00100,1,1,25000,50000,4,10940
c00100,1,1,50000,75000,4,5230
c00100,1,1,75000,100000,4,2020
c00100,1,1,100000,200000,4,1530
c00100,1,1,200000,500000,4,370
c00100,1,1,500000,9e99,4,80
e00200,0,1,-9e99,1,0,35330000
e00200,0,1,1,10000,0,127365000
e00200,0,1,10000,25000,0,536755000
e00200,0,1,25000,50000,0,2329161000
e00200,0,1,50000,75000,0,2337062000
e00200,0,1,75000,100000,0,1954781000
e00200,0,1,100000,200000,0,4773868000
e00200,0,1,200000,500000,0,2491290000
e00200,0,1,500000,9e99,0,1428156000
e26270,0,1,25000,50000,0,5297000
e26270,0,1,50000,75000,0,14605000
e26270,0,1,75000,100000,0,26591000
e26270,0,1,100000,200000,0,139512000
e26270,0,1,200000,500000,0,350580000
e26270,0,1,500000,9e99,0,1097923000
e18400,0,1,10000,25000,0,2499349.595173951
e18400,0,1,25000,50000,0,12317190.93678655
e18400,0,1,50000,75000,0,26094124.481942855
e18400,0,1,75000,100000,0,34401244.777648196
e18400,0,1,100000,200000,0,127343030.01451512
e18400,0,1,200000,500000,0,153387357.06524035
e18400,0,1,500000,9e99,0,268556237.7804111
e18500,0,1,10000,25000,0,8391317.133076357
e18500,0,1,25000,50000,0,20868442.848505408
e18500,0,1,50000,75000,0,37330626.93450593
e18500,0,1,75000,100000,0,37185896.42669909
e18500,0,1,100000,200000,0,110026088.02647851
e18500,0,1,200000,500000,0,89556641.62542982
e18500,0,1,500000,9e99,0,49051638.48693766
