varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,775200.6324125814
c00100,1,1,-9e99,1,0,8349.056445887089
c00100,1,1,1,10000,0,29084.90338493846
c00100,1,1,10000,25000,0,50821.76001660653
c00100,1,1,25000,50000,0,83236.87484475363
c00100,1,1,50000,75000,0,60170.259769556345
c00100,1,1,75000,100000,0,42395.13193846029
c00100,1,1,100000,200000,0,71333.77896092829
c00100,1,1,200000,500000,0,24328.393679045425
c00100,1,1,500000,9e99,0,5815.176664099202
c00100,0,1,1,10000,0,147431827.6020149
c00100,0,1,10000,25000,0,898244991.7641644
c00100,0,1,25000,50000,0,3070508938.817908
c00100,0,1,50000,75000,0,3715972007.763418
c00100,0,1,75000,100000,0,3680802807.541235
c00100,0,1,100000,200000,0,9788783947.429209
c00100,0,1,200000,500000,0,6991417688.201247
c00100,0,1,500000,9e99,0,7825343711.239112
c00100,1,1,-9e99,1,1,5583.883834734538
c00100,1,1,1,10000,1,23637.131868416272
c00100,1,1,10000,25000,1,37644.1959852424
c00100,1,1,25000,50000,1,53680.56841048704
c00100,1,1,50000,75000,1,31984.47205977403
c00100,1,1,75000,100000,1,15989.569283509867
c00100,1,1,100000,200000,1,14172.638841574086
c00100,1,1,200000,500000,1,3535.148203096687
c00100,1,1,500000,9e99,1,786.2965651781125
c00100,1,1,-9e99,1,2,1519.990428783879
c00100,1,1,1,10000,2,2974.0522863490623
c00100,1,1,10000,25000,2,6115.774989280792
c00100,1,1,25000,50000,2,15035.77179119598
c00100,1,1,50000,75000,2,19815.2534222465
c00100,1,1,75000,100000,2,22347.402827439462
c00100,1,1,100000,200000,2,53816.09874949622
c00100,1,1,200000,500000,2,20073.46599612137
c00100,1,1,500000,9e99,2,4852.8467186557255
c00100,1,1,-9e99,1,4,1038.7992957960898
c00100,1,1,1,10000,4,2071.0429434890025
c00100,1,1,10000,25000,4,6106.270254962998
c00100,1,1,25000,50000,4,12338.273499145898
c00100,1,1,50000,75000,4,6891.341437677598
c00100,1,1,75000,100000,4,3313.0029796185445
c00100,1,1,100000,200000,4,2638.2397579153044
c00100,1,1,200000,500000,4,546.7177239602487
c00100,1,1,500000,9e99,4,122.01679587036892
e00200,0,1,-9e99,1,0,37366958.70791579
e00200,0,1,1,10000,0,110818597.6807056
e00200,0,1,10000,25000,0,546035706.4329683
e00200,0,1,25000,50000,0,2213996506.441507
e00200,0,1,50000,75000,0,2591358955.7400966
e00200,0,1,75000,100000,0,2433367133.851466
e00200,0,1,100000,200000,0,6320506223.612237
e00200,0,1,200000,500000,0,3886915941.2063656
e00200,0,1,500000,9e99,0,2431601354.551092
e26270,0,1,25000,50000,0,3771873.148858633
e26270,0,1,50000,75000,0,18855913.34234506
e26270,0,1,75000,100000,0,26014524.931616805
e26270,0,1,100000,200000,0,156014890.06704947
e26270,0,1,200000,500000,0,458302076.4880324
e26270,0,1,500000,9e99,0,1412848426.9269843
e18400,0,1,10000,25000,0,308113.82430408907
e18400,0,1,25000,50000,0,1616762.452218683
e18400,0,1,50000,75000,0,2618652.0932660955
e18400,0,1,75000,100000,0,4015595.34735239
e18400,0,1,100000,200000,0,19081751.895097837
e18400,0,1,200000,500000,0,26226299.825927146
e18400,0,1,500000,9e99,0,47738162.68738853
e18500,0,1,10000,25000,0,10685144.740523124
e18500,0,1,25000,50000,0,31960451.181914337
e18500,0,1,50000,75000,0,49129872.93425437
e18500,0,1,75000,100000,0,55219998.75316499
e18500,0,1,100000,200000,0,182883705.33610415
e18500,0,1,200000,500000,0,144168065.97670522
e18500,0,1,500000,9e99,0,66281018.99683573
