varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,728504.8962085717
c00100,1,1,-9e99,1,0,8098.425908440487
c00100,1,1,1,10000,0,43474.05859374273
c00100,1,1,10000,25000,0,69222.66484754166
c00100,1,1,25000,50000,0,93553.26338106731
c00100,1,1,50000,75000,0,50253.59072002021
c00100,1,1,75000,100000,0,27302.787439585867
c00100,1,1,100000,200000,0,36474.20553260795
c00100,1,1,200000,500000,0,10273.873669727083
c00100,1,1,500000,9e99,0,2887.620501307868
c00100,0,1,1,10000,0,214365976.51793072
c00100,0,1,10000,25000,0,1191856780.4138467
c00100,0,1,25000,50000,0,3421802115.197644
c00100,0,1,50000,75000,0,3075011082.305016
c00100,0,1,75000,100000,0,2356053314.814401
c00100,0,1,100000,200000,0,4916646574.248247
c00100,0,1,200000,500000,0,2958985483.9751024
c00100,0,1,500000,9e99,0,4770981878.550777
c00100,1,1,-9e99,1,1,5956.18827095242
c00100,1,1,1,10000,1,35275.02520184861
c00100,1,1,10000,25000,1,45937.78794742644
c00100,1,1,25000,50000,1,57695.744257859886
c00100,1,1,50000,75000,1,29361.17943396556
c00100,1,1,75000,100000,1,11188.529551781456
c00100,1,1,100000,200000,1,8106.636457967907
c00100,1,1,200000,500000,1,1743.3034596536268
c00100,1,1,500000,9e99,1,430.84668219556215
c00100,1,1,-9e99,1,2,704.2728344196793
c00100,1,1,1,10000,2,1974.6021790334523
c00100,1,1,10000,25000,2,4594.261904566341
c00100,1,1,25000,50000,2,11369.610973311392
c00100,1,1,50000,75000,2,12530.94501127411
c00100,1,1,75000,100000,2,13382.296804633346
c00100,1,1,100000,200000,2,26652.722891880403
c00100,1,1,200000,500000,2,8194.076720663248
c00100,1,1,500000,9e99,2,2385.205015197841
c00100,1,1,-9e99,1,4,1333.8702915163776
c00100,1,1,1,10000,4,5904.196430856488
c00100,1,1,10000,25000,4,17952.397869181197
c00100,1,1,25000,50000,4,22724.74903580631
c00100,1,1,50000,75000,4,7189.938115087108
c00100,1,1,75000,100000,4,2294.689789696591
c00100,1,1,100000,200000,4,1393.1003170446818
c00100,1,1,200000,500000,4,258.0971450137037
c00100,1,1,500000,9e99,4,59.8512033820495
e00200,0,1,-9e99,1,0,20398308.502782397
e00200,0,1,1,10000,0,173229985.11130068
e00200,0,1,10000,25000,0,904788596.6254436
e00200,0,1,25000,50000,0,2904468986.626399
e00200,0,1,50000,75000,0,2481750615.9817424
e00200,0,1,75000,100000,0,1789195070.3198266
e00200,0,1,100000,200000,0,3569912172.9111495
e00200,0,1,200000,500000,0,1898427699.2808528
e00200,0,1,500000,9e99,0,1680072257.3680131
e26270,0,1,25000,50000,0,7000609.096042014
e26270,0,1,50000,75000,0,12551976.298163155
e26270,0,1,75000,100000,0,12293825.062588347
e26270,0,1,100000,200000,0,61020150.14489277
e26270,0,1,200000,500000,0,157268447.6670402
e26270,0,1,500000,9e99,0,684213343.6341774
e18400,0,1,10000,25000,0,2834223.595820658
e18400,0,1,25000,50000,0,15522847.912488507
e18400,0,1,50000,75000,0,36384768.57427128
e18400,0,1,75000,100000,0,46534254.570936345
e18400,0,1,100000,200000,0,121142102.2718646
e18400,0,1,200000,500000,0,107436533.93913162
e18400,0,1,500000,9e99,0,198570726.80488345
e18500,0,1,10000,25000,0,7840153.713690372
e18500,0,1,25000,50000,0,19157454.989269048
e18500,0,1,50000,75000,0,35792753.33580788
e18500,0,1,75000,100000,0,36511479.60110696
e18500,0,1,100000,200000,0,82346539.9954983
e18500,0,1,200000,500000,0,59235337.47948126
e18500,0,1,500000,9e99,0,49119567.6086229
