varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,895940.5152350538
c00100,1,1,-9e99,1,0,9799.1179146503855
c00100,1,1,1,10000,0,51729.96848877845
c00100,1,1,10000,25000,0,77645.35199165072
c00100,1,1,25000,50000,0,96750.68036405378
c00100,1,1,50000,75000,0,58187.72194347368
c00100,1,1,75000,100000,0,38893.165240487026
c00100,1,1,100000,200000,0,55328.55252068315
c00100,1,1,200000,500000,0,12467.178669142886
c00100,1,1,500000,9e99,0,2519.906466766022
c00100,0,1,1,10000,0,262145147.284885
c00100,0,1,10000,25000,0,1338806335.737789
c00100,0,1,25000,50000,0,3513821158.383396
c00100,0,1,50000,75000,0,3581817145.0058165
c00100,0,1,75000,100000,0,3372471337.168429
c00100,0,1,100000,200000,0,7422272543.13246
c00100,0,1,200000,500000,0,3511899263.457628
c00100,0,1,500000,9e99,0,2912415525.7476068
c00100,1,1,-9e99,1,1,5935.37844517334
c00100,1,1,1,10000,1,40032.35664859528
c00100,1,1,10000,25000,1,50706.12194690059
c00100,1,1,25000,50000,1,53674.50530801482
c00100,1,1,50000,75000,1,24075.539879311043
c00100,1,1,75000,100000,1,9953.463879461382
c00100,1,1,100000,200000,1,7601.704310371459
c00100,1,1,200000,500000,1,1598.9774844880978
c00100,1,1,500000,9e99,1,339.7403658633547
c00100,1,1,-9e99,1,2,1897.181048475967
c00100,1,1,1,10000,2,5816.735662532446
c00100,1,1,10000,25000,2,13373.232546418303
c00100,1,1,25000,50000,2,24405.298591020055
c00100,1,1,50000,75000,2,26065.79083651279
c00100,1,1,75000,100000,2,25611.331668358544
c00100,1,1,100000,200000,2,45288.94117515924
c00100,1,1,200000,500000,2,10504.305523572388
c00100,1,1,500000,9e99,2,2101.389185701301
c00100,1,1,-9e99,1,4,1681.3203226603334
c00100,1,1,1,10000,4,5035.158187603303
c00100,1,1,10000,25000,4,11943.22277600382
c00100,1,1,25000,50000,4,15081.185264310683
c00100,1,1,50000,75000,4,5951.5517764122
c00100,1,1,75000,100000,4,2546.6728652782467
c00100,1,1,100000,200000,4,1749.6235230480447
c00100,1,1,200000,500000,4,260.60539328285495
c00100,1,1,500000,9e99,4,59.023010171168856
e00200,0,1,-9e99,1,0,25779468.347505443
e00200,0,1,1,10000,0,185803647.6858818
e00200,0,1,10000,25000,0,914815878.528612
e00200,0,1,25000,50000,0,2719242351.212986
e00200,0,1,50000,75000,0,2650248515.67126
e00200,0,1,75000,100000,0,2465823072.2394543
e00200,0,1,100000,200000,0,5408146197.2725
e00200,0,1,200000,500000,0,2053433938.832888
e00200,0,1,500000,9e99,0,886914869.7707808
e26270,0,1,25000,50000,0,4710733.280350934
e26270,0,1,50000,75000,0,8936026.172535947
e26270,0,1,75000,100000,0,11930184.662978014
e26270,0,1,100000,200000,0,76602639.43687052
e26270,0,1,200000,500000,0,249908189.38144857
e26270,0,1,500000,9e99,0,664198597.5147239
e18400,0,1,10000,25000,0,1413870.8214472812
e18400,0,1,25000,50000,0,8228431.735374275
e18400,0,1,50000,75000,0,17560130.91777745
e18400,0,1,75000,100000,0,29353837.09639321
e18400,0,1,100000,200000,0,133280259.16728728
e18400,0,1,200000,500000,0,122858846.35286497
e18400,0,1,500000,9e99,0,103806973.40073432
e18500,0,1,10000,25000,0,1035064.0525580108
e18500,0,1,25000,50000,0,3237124.2369865226
e18500,0,1,50000,75000,0,5890477.426173952
e18500,0,1,75000,100000,0,8140202.087779529
e18500,0,1,100000,200000,0,29209702.621829715
e18500,0,1,200000,500000,0,20679609.40745273
e18500,0,1,500000,9e99,0,9387618.779400405
