varname,count,scope,agilo,agihi,fstatus,target
XTOT,0,0,-9e99,9e99,0,578803
c00100,1,1,-9e99,1,0,7060
c00100,1,1,1,10000,0,30300
c00100,1,1,10000,25000,0,45350
c00100,1,1,25000,50000,0,62330
c00100,1,1,50000,75000,0,41820
c00100,1,1,75000,100000,0,30020
c00100,1,1,100000,200000,0,48250
c00100,1,1,200000,500000,0,12660
c00100,1,1,500000,9e99,0,4270
c00100,0,1,1,10000,0,154219000
c00100,0,1,10000,25000,0,785206000
c00100,0,1,25000,50000,0,2281977000
c00100,0,1,50000,75000,0,2581748000
c00100,0,1,75000,100000,0,2607650000
c00100,0,1,100000,200000,0,6516349000
c00100,0,1,200000,500000,0,3638683000
c00100,0,1,500000,9e99,0,13679421000
c00100,1,1,-9e99,1,1,4120
c00100,1,1,1,10000,1,24710
c00100,1,1,10000,25000,1,32740
c00100,1,1,25000,50000,1,37410
c00100,1,1,50000,75000,1,19110
c00100,1,1,75000,100000,1,8370
c00100,1,1,100000,200000,1,7030
c00100,1,1,200000,500000,1,1900
c00100,1,1,500000,9e99,1,800
c00100,1,1,-9e99,1,2,2060
c00100,1,1,1,10000,2,2770
c00100,1,1,10000,25000,2,5720
c00100,1,1,25000,50000,2,13490
c00100,1,1,50000,75000,2,17250
c00100,1,1,75000,100000,2,19130
c00100,1,1,100000,200000,2,39380
c00100,1,1,200000,500000,2,10430
c00100,1,1,500000,9e99,2,3290
c00100,1,1,-9e99,1,4,680
c00100,1,1,1,10000,4,2310
c00100,1,1,10000,25000,4,5950
c00100,1,1,25000,50000,4,9550
c00100,1,1,50000,75000,4,4240
c00100,1,1,75000,100000,4,2000
c00100,1,1,100000,200000,4,1380
c00100,1,1,200000,500000,4,210
c00100,1,1,500000,9e99,4,70
e00200,0,1,-9e99,1,0,57794000
e00200,0,1,1,10000,0,123403000
e00200,0,1,10000,25000,0,587766000
e00200,0,1,25000,50000,0,1790666000
e00200,0,1,50000,75000,0,1902453000
e00200,0,1,75000,100000,0,1879747000
e00200,0,1,100000,200000,0,4452199000
e00200,0,1,200000,500000,0,1647664000
e00200,0,1,500000,9e99,0,1568868000
e26270,0,1,50000,75000,0,16160000
e26270,0,1,75000,100000,0,22381000
e26270,0,1,100000,200000,0,147011000
e26270,0,1,200000,500000,0,408598000
e26270,0,1,500000,9e99,0,1640231000
e18400,0,1,10000,25000,0,84405.80246366063
e18400,0,1,25000,50000,0,1003484.6727582827
e18400,0,1,50000,75000,0,1650553.036113244
e18400,0,1,75000,100000,0,3042265.506820978
e18400,0,1,100000,200000,0,15391767.091599695
e18400,0,1,200000,500000,0,19288929.050569218
e18400,0,1,500000,9e99,0,212876662.00948304
e18500,0,1,10000,25000,0,2449442.854287825
e18500,0,1,25000,50000,0,7576997.410158122
e18500,0,1,50000,75000,0,8511221.924749533
e18500,0,1,75000,100000,0,9799084.894219829
e18500,0,1,100000,200000,0,38350676.76215967
e18500,0,1,200000,500000,0,39218662.78375242
e18500,0,1,500000,9e99,0,73500541.8266214
