varname,count,scope,agilo,agihi,fstatus,target
XTOT,       0,    0,-9e99, 9e99,      0,  33e6
e00300,     0,    1,-9e99, 9e99,      0,  20e9
e00900,     0,    1,-9e99, 9e99,      0,  30e9
e00200,     0,    1,-9e99, 9e99,      0,1000e9
e02000,     0,    1,-9e99, 9e99,      0,  30e9
e02400,     0,    1,-9e99, 9e99,      0,  60e9
c00100,     0,    1,-9e99, 9e99,      0,1200e9
c00100,     1,    1,  1e6, 9e99,      0,  10e3
e00400,     0,    1,-9e99, 9e99,      0,   2e9
e00600,     0,    1,-9e99, 9e99,      0,   8e9
e00650,     0,    1,-9e99, 9e99,      0,   7e9
e01700,     0,    1,-9e99, 9e99,      0,  12e9
e02300,     0,    1,-9e99, 9e99,      0,  10e9
e17500,     0,    1,-9e99, 9e99,      0,   5e9
e18400,     0,    1,-9e99, 9e99,      0,  10e9
e18500,     0,    1,-9e99, 9e99,      0,  10e9
