table,year,fname,var_name,var_type,value_filter,marstat,description,irs_col_header,xlcolumn,xl_colnumber,incsort,incrange,xlrownum,raw_value
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,1,"All returns, total",9,160824340.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,2,No adjusted gross income,10,4098522.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,3,"$1 under $5,000",11,8487025.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,4,"$5,000 under $10,000",12,8944908.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,5,"$10,000 under $15,000",13,10056377.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,6,"$15,000 under $20,000",14,9786580.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,7,"$20,000 under $25,000",15,8863570.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,8,"$25,000 under $30,000",16,8787576.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,9,"$30,000 under $40,000",17,16123068.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,10,"$40,000 under $50,000",18,12782334.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,11,"$50,000 under $75,000",19,22653934.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,12,"$75,000 under $100,000",20,14657726.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,13,"$100,000 under $200,000",21,24044481.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,14,"$200,000 under $500,000",22,9045567.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,15,"$500,000 under $1,000,000",23,1617144.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,16,"$1,000,000 under $1,500,000",24,376859.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,17,"$1,500,000 under $2,000,000",25,156020.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,18,"$2,000,000 under $5,000,000",26,233838.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,19,"$5,000,000 under $10,000,000",27,63406.0
tab14,2021,21in14ar.xls,agi,count,all,all,Number of returns,Number of returns,B,2,20,"$10,000,000 or more",28,45404.0
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,1,"All returns, total",9,14795614070000.0
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,2,No adjusted gross income,10,-171836364000.0
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,3,"$1 under $5,000",11,19987243000.0
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,4,"$5,000 under $10,000",12,67651359000.0
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,5,"$10,000 under $15,000",13,125912056000.0
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,6,"$15,000 under $20,000",14,170836129000.0
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,7,"$20,000 under $25,000",15,199508960000.0
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,8,"$25,000 under $30,000",16,241347179000.0
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,9,"$30,000 under $40,000",17,561386434000.0
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,10,"$40,000 under $50,000",18,573155378000.0
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,11,"$50,000 under $75,000",19,1392395599000.0
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,12,"$75,000 under $100,000",20,1271699391000.0
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,13,"$100,000 under $200,000",21,3297058075000.0
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,14,"$200,000 under $500,000",22,2619188471000.0
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,15,"$500,000 under $1,000,000",23,1092599034000.0
tab14,2021,21in14ar.xls,agi,amount,all,all,Adjusted gross income,Adjusted gross income less deficit,C,3,16,"$1,000,000 under $1,500,000",24,454552875000.0
